
 INFO Server running on [http://127.0.0.1:8090]. 

 Press Ctrl+C to stop the server

 2026-09-01 10:39:15 / .. ~ 2s
 2026-09-01 10:39:40 /login .. ~ 513.35ms
 2026-09-01 10:39:41 /login .. ~ 1s
 2026-09-01 10:39:48 /login .. ~ 1s
 2026-09-01 10:39:49 /login .. ~ 1s
 2026-09-01 10:40:02 /donors .. ~ 514.48ms
 2026-09-01 10:40:13 /donors .. ~ 506.94ms
 2026-09-01 10:40:29 /login .. ~ 501.49ms
 2026-09-01 10:40:31 /login .. ~ 1s
 2026-09-01 10:40:46 /donors .. ~ 510.67ms
 2026-09-01 10:40:59 /donors .. ~ 515.28ms
 2026-09-01 10:42:18 /login .. ~ 515.51ms
 2026-09-01 10:42:19 /login .. ~ 1s
 2026-09-01 10:42:21 /donors .. ~ 1s
 2026-09-01 10:42:37 /donors .. ~ 502.99ms
 2026-09-01 10:44:01 /donors/01a05b46-6b7e-71e1-b5bd-3ab9fb443aac .. ~ 17s
 2026-09-01 10:44:20 /donors .. ~ 1s
 2026-09-01 10:45:14 /donors/01a05b46-6b7e-71e1-b5bd-3ab9fb443aac .. ~ 1s
 2026-09-01 10:45:26 /login .. ~ 1s
 2026-09-01 10:45:27 /login .. ~ 1s
 2026-09-01 10:45:30 /profile .. ~ 1s
 2026-09-01 10:45:31 /profile/edit .. ~ 505.29ms
 2026-09-01 10:45:31 /profile/donations .. ~ 502.05ms
 2026-09-01 10:45:32 /settings .. ~ 1s
 2026-09-01 10:45:33 /username-check .. ~ 513.85ms
 2026-09-01 10:45:34 /username-check .. ~ 1s
 2026-09-01 10:45:35 /username-check .. ~ 510.01ms
 2026-09-01 10:45:45 /settings .. ~ 502.94ms
 2026-09-01 10:46:20 /settings .. ~ 510.45ms
 2026-09-01 10:46:21 /profile/availability .. ~ 1s
 2026-09-01 10:46:22 /profile/donations .. ~ 514.62ms
 2026-09-01 10:46:50 /register .. ~ 507.85ms
 2026-09-01 10:46:53 /register .. ~ 1s
 2026-09-01 10:46:54 /profile .. ~ 1s
 2026-09-01 10:46:56 /profile .. ~ 1s
 2026-09-01 10:47:09 /donors .. ~ 1s
 2026-09-01 10:47:10 /donors .. ~ 502.16ms
 2026-09-01 10:47:11 /donors .. ~ 508.99ms
